clubID,Title,Latitude,Longitude,Address Line 1,City,Province,Postal Code,URL,CombinedAddress
171,Dovercourt Boys and Girls Club,43.665815,-79.432696,180 Westmoreland Avenue,Toronto,ON,M6H 3A2,http://www.dovercourtkids.com,"180 Westmoreland Avenue, Toronto, M6H 3A2, ON"
172,Albion Neighbourhood Services Boys and Girls Club,43.746801,-79.583702,21 Panorama Court,Etobicoke,ON,M9V 4E3,http://www.albionneighbourhoodservices.com,"21 Panorama Court, Etobicoke, M9V 4E3, ON"
173,Braeburn Boys and Girls Club,43.72909,-79.546519,108 - 75 Tandridge Crescent,Toronto,ON,M9W 2N9,http://braeburn.bgccan.com,"108 - 75 Tandridge Crescent, Toronto, M9W 2N9, ON"
174,Boys and Girls Club of Brantford,43.120581,-80.272023,2 Edge Street,Brantford,ON,N3T 6H1,http://www.bgcbrant.ca,"2 Edge Street, Brantford, N3T 6H1, ON"
175,Boys and Girls Club of London,42.9797,-81.2462,184 Horton St. E.,London,ON,N6B 1K8,http://www.bgclondon.ca,"184 Horton St. E., London, N6B 1K8, ON"
176,Boys and Girls Club of Sarnia/Lambton,42.97341,-82.401201,180 North College Avenue,Sarnia,ON,N7T 7X2,http://www.bgcsarnia.com/,"180 North College Avenue, Sarnia, N7T 7X2, ON"
177,Boys and Girls Clubs of Thunder Bay,48.443442,-89.25613,270 Windsor St.,Thunder Bay,ON,P7B 1V6,http://www.tbayboysandgirlsclub.org,"270 Windsor St., Thunder Bay, P7B 1V6, ON"
178,Wellington & Area Boys and Girls Club,46.452274,-63.999416,24 Mill Road,Wellington,PE,C0B 2E0,https://www.bgccan.com,"24 Mill Road, Wellington, C0B 2E0, PE"
179,Boys and Girls Club of Charlottetown,46.248042,-63.123023,35 Saint Peter's Road,Charlottetown,PE,C1A 5N1,http://www.charlottetownbg.com,"35 Saint Peter's Road, Charlottetown, C1A 5N1, PE"
180,Boys and Girls Club of Summerside Inc.,46.396213,-63.793952,364 Notre Dame Street,Summerside,PE,C1N 1S7,http://www.ssidebgclub.com,"364 Notre Dame Street, Summerside, C1N 1S7, PE"
181,Régional des maisons de jeunes de Québec,46.813812,-71.257126,165 Avenue Proulx,Québec ,QC,G1M 1W7,http://www.rmdjq.qc.ca,"165 Avenue Proulx, Québec , G1M 1W7, QC"
182,Maison Coup De Pouce T.R.,46.357095,-72.606973,5593 Rue Jean-Paul Lavergne,Trois-Rivieres ,QC,G8Y 3Y5,https://www.bgccan.com,"5593 Rue Jean-Paul Lavergne, Trois-Rivieres , G8Y 3Y5, QC"
183,Boys and Girls Clubs of Dawson,45.452447,-73.573858,666 Woodland Avenue,Verdun ,QC,H4H 1V8,http://www.dccverdun.ca,"666 Woodland Avenue, Verdun , H4H 1V8, QC"
184,Club Garçons et Filles - Local des jeunes des Jardins Fleuris,45.419425,-71.867015,"1-800, rue des Pompons",Sherbrooke ,QC,J1E 2Z5,https://www.bgccan.com,"1-800, rue des Pompons, Sherbrooke , J1E 2Z5, QC"
185,Repaire jeunesse de Sherbrooke – Ascot,45.383129,-71.898859,"1520, rue Dunant",Sherbrooke ,QC,J1H 4A2,https://www.bgccan.com,"1520, rue Dunant, Sherbrooke , J1H 4A2, QC"
186,Action Jeunesse St-Pie X de Longueuil,45.540108,-73.487976,1000 Roland Therrien Boulevard,Longueuil,QC,J4J 5H3,https://www.bgccan.com,"1000 Roland Therrien Boulevard, Longueuil, J4J 5H3, QC"
187,Boys and Girls Club of Yorkton Inc.,51.211744,-102.46649,54C Smith Street West,Yorkton,SK,S3N 2X3,http://www.boysandgirlsclubofyorkton.ca,"54C Smith Street West, Yorkton, S3N 2X3, SK"
188,Boys and Girls Clubs of Saskatoon,52.157485,-106.679489,105 - 135 Robin Cres.,Saskatoon,SK,S7L 6M3,http://www.bgcsaskatoon.com,"105 - 135 Robin Cres., Saskatoon, S7L 6M3, SK"
189,Battlefords Boys and Girls Club,52.776823,-108.293512,1301 - 104th Street,North Battleford,SK,S9A 1N9,http://www.battlefordsboysandgirlsclub.ca,"1301 - 104th Street, North Battleford, S9A 1N9, SK"
190,Boys and Girls Clubs of Yukon,60.723132,-135.058148,306A Alexander St,Whitehorse,YT,Y1A 2L6,http://www.bgcyukon.com,"306A Alexander St, Whitehorse, Y1A 2L6, YT"
